Python 3.1.2 (r312:79360M, Mar 24 2010, 01:33:18) 
[GCC 4.0.1 (Apple Inc. build 5493)] on darwin
Type "copyright", "credits" or "license()" for more information.
>>> ================================ RESTART ================================
>>> 

Number of executions for each coin bias: 100000

p = probability of heads 
w = average wins of Player 1 
t = average number of coin tosses

p      w       t
0.001, 0.5011, 999.2666
0.002, 0.5018, 502.3517
0.003, 0.5013, 335.7289
0.004, 0.4997, 251.5834
0.005, 0.5002, 199.8030
0.006, 0.4989, 167.2657
0.007, 0.5037, 144.7036
0.008, 0.4990, 126.7901
0.009, 0.5000, 113.3761
0.010, 0.5014, 102.3911
0.011, 0.4997, 92.4839
0.012, 0.4986, 85.1082
0.013, 0.5045, 78.7614
0.014, 0.4970, 73.7152
0.015, 0.5018, 68.8483
0.016, 0.4966, 64.4966
0.017, 0.4988, 61.0041
0.018, 0.4989, 57.5344
0.019, 0.4973, 54.7056
0.020, 0.5001, 52.0510
0.021, 0.5019, 49.5308
0.022, 0.4996, 47.6062
0.023, 0.5008, 45.5302
0.024, 0.4988, 43.4486
0.025, 0.4994, 41.9208
0.026, 0.5026, 40.3102
0.027, 0.5001, 39.0096
0.028, 0.5040, 37.8853
0.029, 0.4990, 36.6012
0.030, 0.4992, 35.2088
0.031, 0.5005, 34.1967
0.032, 0.5007, 33.2557
0.033, 0.4994, 32.3216
0.034, 0.5011, 31.5068
0.035, 0.5012, 30.5819
0.036, 0.4980, 29.7436
0.037, 0.5011, 29.1162
0.038, 0.5015, 28.2473
0.039, 0.5009, 27.7544
0.040, 0.5011, 27.1649
0.041, 0.5035, 26.3496
0.042, 0.4980, 25.9271
0.043, 0.5019, 25.3745
0.044, 0.4994, 24.8081
0.045, 0.4988, 24.3148
0.046, 0.5020, 23.7619
0.047, 0.5029, 23.3782
0.048, 0.5016, 22.8471
0.049, 0.5001, 22.5452
0.050, 0.5007, 22.0521
0.051, 0.5018, 21.5671
0.052, 0.4972, 21.2862
0.053, 0.4990, 20.8633
0.054, 0.5023, 20.5530
0.055, 0.5020, 20.1857
0.056, 0.5027, 19.9199
0.057, 0.5023, 19.6324
0.058, 0.5010, 19.2730
0.059, 0.5018, 19.0860
0.060, 0.5007, 18.7001
0.061, 0.5015, 18.4562
0.062, 0.4999, 18.2229
0.063, 0.5010, 17.9077
0.064, 0.4998, 17.7240
0.065, 0.5034, 17.5708
0.066, 0.4995, 17.2828
0.067, 0.5006, 17.0139
0.068, 0.5010, 16.7412
0.069, 0.5013, 16.5110
0.070, 0.5009, 16.3770
0.071, 0.4983, 16.1072
0.072, 0.4998, 15.9674
0.073, 0.5015, 15.7639
0.074, 0.5007, 15.6679
0.075, 0.4998, 15.4329
0.076, 0.5022, 15.2115
0.077, 0.5018, 15.0260
0.078, 0.4990, 14.8904
0.079, 0.5017, 14.7066
0.080, 0.4986, 14.5781
0.081, 0.4995, 14.3987
0.082, 0.4983, 14.2610
0.083, 0.4997, 14.2013
0.084, 0.4973, 14.0848
0.085, 0.4999, 13.7993
0.086, 0.4997, 13.7232
0.087, 0.4979, 13.5570
0.088, 0.4995, 13.4926
0.089, 0.4996, 13.3041
0.090, 0.4986, 13.2121
0.091, 0.4982, 13.0729
0.092, 0.5002, 13.0080
0.093, 0.5004, 12.7985
0.094, 0.4990, 12.8177
0.095, 0.5025, 12.6521
0.096, 0.4959, 12.5177
0.097, 0.5025, 12.4506
0.098, 0.5006, 12.3139
0.099, 0.4976, 12.2549
0.100, 0.5026, 12.1683
0.101, 0.4995, 12.0960
0.102, 0.5001, 11.9660
0.103, 0.4973, 11.8606
0.104, 0.4991, 11.6992
0.105, 0.4987, 11.6683
0.106, 0.4995, 11.5832
0.107, 0.4996, 11.4626
0.108, 0.5010, 11.4010
0.109, 0.5026, 11.3066
0.110, 0.4991, 11.1652
0.111, 0.4982, 11.1415
0.112, 0.4994, 11.0946
0.113, 0.5003, 11.0115
0.114, 0.4992, 10.9249
0.115, 0.4996, 10.8102
0.116, 0.4986, 10.7654
0.117, 0.5005, 10.7512
0.118, 0.5021, 10.6097
0.119, 0.5028, 10.5661
0.120, 0.4999, 10.4696
0.121, 0.5014, 10.4231
0.122, 0.5030, 10.3132
0.123, 0.4994, 10.2791
0.124, 0.5002, 10.2538
0.125, 0.4987, 10.1553
0.126, 0.5009, 10.0934
0.127, 0.5031, 10.0135
0.128, 0.4978, 9.9989
0.129, 0.5008, 9.8871
0.130, 0.4975, 9.8534
0.131, 0.5024, 9.7787
0.132, 0.5011, 9.7605
0.133, 0.4970, 9.6611
0.134, 0.5013, 9.5874
0.135, 0.5016, 9.5606
0.136, 0.5009, 9.4995
0.137, 0.5002, 9.4670
0.138, 0.5023, 9.4183
0.139, 0.5005, 9.3369
0.140, 0.4983, 9.2909
0.141, 0.5004, 9.2368
0.142, 0.4995, 9.2001
0.143, 0.5005, 9.1805
0.144, 0.4979, 9.0936
0.145, 0.5006, 9.0681
0.146, 0.5027, 8.9821
0.147, 0.4983, 8.9637
0.148, 0.5020, 8.9072
0.149, 0.5008, 8.9104
0.150, 0.5000, 8.8533
0.151, 0.5015, 8.7599
0.152, 0.5008, 8.7503
0.153, 0.4986, 8.7080
0.154, 0.4985, 8.7182
0.155, 0.4986, 8.6247
0.156, 0.5015, 8.5867
0.157, 0.4991, 8.5784
0.158, 0.4988, 8.5172
0.159, 0.5001, 8.4839
0.160, 0.4995, 8.4170
0.161, 0.4982, 8.3912
0.162, 0.4999, 8.3644
0.163, 0.4985, 8.3070
0.164, 0.5014, 8.2726
0.165, 0.5003, 8.2589
0.166, 0.4989, 8.2253
0.167, 0.4986, 8.1876
0.168, 0.5000, 8.1326
0.169, 0.4992, 8.0869
0.170, 0.4999, 8.0835
0.171, 0.5001, 8.0417
0.172, 0.4998, 8.0096
0.173, 0.5010, 7.9705
0.174, 0.4994, 7.9496
0.175, 0.5016, 7.9206
0.176, 0.4965, 7.9355
0.177, 0.5010, 7.8609
0.178, 0.4979, 7.8474
0.179, 0.4998, 7.8096
0.180, 0.5011, 7.7608
0.181, 0.5016, 7.7394
0.182, 0.4979, 7.7394
0.183, 0.4981, 7.6855
0.184, 0.4993, 7.6477
0.185, 0.4985, 7.6319
0.186, 0.5001, 7.6076
0.187, 0.4998, 7.5910
0.188, 0.5031, 7.5332
0.189, 0.4986, 7.5444
0.190, 0.5004, 7.5162
0.191, 0.5025, 7.4666
0.192, 0.4991, 7.4456
0.193, 0.4991, 7.4220
0.194, 0.4995, 7.3973
0.195, 0.5015, 7.3817
0.196, 0.4988, 7.3422
0.197, 0.4991, 7.3043
0.198, 0.4975, 7.2710
0.199, 0.4994, 7.2883
0.200, 0.4965, 7.2683
0.201, 0.4994, 7.2399
0.202, 0.5002, 7.2139
0.203, 0.4978, 7.1872
0.204, 0.4975, 7.1774
0.205, 0.5019, 7.1620
0.206, 0.4984, 7.1286
0.207, 0.5001, 7.0755
0.208, 0.5016, 7.0598
0.209, 0.5009, 7.0302
0.210, 0.4988, 7.0186
0.211, 0.4987, 7.0047
0.212, 0.5001, 6.9811
0.213, 0.5013, 6.9441
0.214, 0.4999, 6.9593
0.215, 0.5032, 6.9210
0.216, 0.5006, 6.8916
0.217, 0.4989, 6.8610
0.218, 0.4988, 6.8369
0.219, 0.5034, 6.8502
0.220, 0.5014, 6.8235
0.221, 0.4984, 6.8136
0.222, 0.4992, 6.7967
0.223, 0.5012, 6.7796
0.224, 0.5004, 6.7384
0.225, 0.4961, 6.7427
0.226, 0.4992, 6.7295
0.227, 0.5006, 6.7114
0.228, 0.4971, 6.6884
0.229, 0.5000, 6.6388
0.230, 0.5007, 6.6302
0.231, 0.5023, 6.6285
0.232, 0.4982, 6.6220
0.233, 0.5006, 6.6197
0.234, 0.5000, 6.5709
0.235, 0.4974, 6.5626
0.236, 0.5024, 6.5450
0.237, 0.4999, 6.5310
0.238, 0.4997, 6.5151
0.239, 0.5013, 6.5126
0.240, 0.5010, 6.5039
0.241, 0.5011, 6.4597
0.242, 0.5032, 6.4513
0.243, 0.5012, 6.4399
0.244, 0.4984, 6.4231
0.245, 0.5002, 6.4255
0.246, 0.4990, 6.3874
0.247, 0.5021, 6.3823
0.248, 0.5007, 6.3546
0.249, 0.4996, 6.3556
0.250, 0.5000, 6.3431
0.251, 0.4980, 6.3061
0.252, 0.4989, 6.3078
0.253, 0.5021, 6.2818
0.254, 0.4986, 6.2776
0.255, 0.4974, 6.2706
0.256, 0.4974, 6.2359
0.257, 0.5026, 6.2320
0.258, 0.4983, 6.2063
0.259, 0.5002, 6.2248
0.260, 0.4991, 6.1923
0.261, 0.4965, 6.1672
0.262, 0.5009, 6.1689
0.263, 0.5021, 6.1309
0.264, 0.4993, 6.1373
0.265, 0.5002, 6.1538
0.266, 0.5000, 6.1284
0.267, 0.4999, 6.1289
0.268, 0.5001, 6.0990
0.269, 0.5015, 6.0891
0.270, 0.5005, 6.0885
0.271, 0.5020, 6.0680
0.272, 0.5010, 6.0601
0.273, 0.4996, 6.0582
0.274, 0.5007, 6.0415
0.275, 0.5001, 6.0156
0.276, 0.5005, 6.0086
0.277, 0.5013, 5.9820
0.278, 0.5006, 5.9639
0.279, 0.4984, 5.9606
0.280, 0.5003, 5.9504
0.281, 0.5016, 5.9484
0.282, 0.5006, 5.9438
0.283, 0.4998, 5.9383
0.284, 0.4978, 5.9409
0.285, 0.5000, 5.9103
0.286, 0.5030, 5.8901
0.287, 0.5010, 5.8934
0.288, 0.5015, 5.8890
0.289, 0.4976, 5.8750
0.290, 0.5009, 5.8653
0.291, 0.5007, 5.8244
0.292, 0.4966, 5.8291
0.293, 0.5008, 5.8411
0.294, 0.4996, 5.7993
0.295, 0.5006, 5.8022
0.296, 0.5004, 5.7882
0.297, 0.4988, 5.8220
0.298, 0.4990, 5.7858
0.299, 0.5006, 5.7586
0.300, 0.5020, 5.7580
0.301, 0.4999, 5.7428
0.302, 0.5019, 5.7312
0.303, 0.4994, 5.7467
0.304, 0.5013, 5.7279
0.305, 0.5045, 5.7017
0.306, 0.4998, 5.6992
0.307, 0.5014, 5.6843
0.308, 0.5027, 5.6807
0.309, 0.5022, 5.6749
0.310, 0.4984, 5.6814
0.311, 0.4975, 5.6671
0.312, 0.4988, 5.6680
0.313, 0.4988, 5.6422
0.314, 0.4999, 5.6491
0.315, 0.5023, 5.6500
0.316, 0.4964, 5.6389
0.317, 0.5009, 5.6243
0.318, 0.4995, 5.6234
0.319, 0.5017, 5.6079
0.320, 0.5026, 5.6061
0.321, 0.5005, 5.5780
0.322, 0.4985, 5.5816
0.323, 0.5004, 5.5648
0.324, 0.4995, 5.5491
0.325, 0.4993, 5.5816
0.326, 0.4991, 5.5563
0.327, 0.4978, 5.5360
0.328, 0.5007, 5.5380
0.329, 0.5022, 5.5277
0.330, 0.5018, 5.5449
0.331, 0.5018, 5.5142
0.332, 0.4994, 5.5130
0.333, 0.4999, 5.5017
0.334, 0.5017, 5.5075
0.335, 0.4998, 5.4885
0.336, 0.4982, 5.4706
0.337, 0.5023, 5.4761
0.338, 0.5035, 5.4765
0.339, 0.4993, 5.4617
0.340, 0.5008, 5.4726
0.341, 0.4979, 5.4645
0.342, 0.4978, 5.4606
0.343, 0.5018, 5.4290
0.344, 0.5000, 5.4391
0.345, 0.5030, 5.4380
0.346, 0.5000, 5.4083
0.347, 0.4985, 5.4236
0.348, 0.5003, 5.4058
0.349, 0.5006, 5.3854
0.350, 0.5002, 5.3782
0.351, 0.5028, 5.3894
0.352, 0.4989, 5.3854
0.353, 0.4978, 5.3737
0.354, 0.5036, 5.3700
0.355, 0.4997, 5.3621
0.356, 0.4990, 5.3682
0.357, 0.5013, 5.3552
0.358, 0.5009, 5.3614
0.359, 0.5008, 5.3563
0.360, 0.4967, 5.3473
0.361, 0.4977, 5.3276
0.362, 0.5005, 5.3393
0.363, 0.5008, 5.3335
0.364, 0.4998, 5.3164
0.365, 0.4994, 5.2994
0.366, 0.5028, 5.3288
0.367, 0.5001, 5.3072
0.368, 0.4989, 5.3087
